# s/c   cf_mean    cf_std
0.68972756 0.07595780 0.03716161
0.69101364 0.07581625 0.03719483
0.69228495 0.07565725 0.03722340
0.69357104 0.07548387 0.03724802
0.69484234 0.07530403 0.03726857
0.69612843 0.07513673 0.03728785
0.69741452 0.07500319 0.03730809
0.69868582 0.07491831 0.03733134
0.69997191 0.07487109 0.03735360
0.70124322 0.07480982 0.03736109
0.70252931 0.07470887 0.03735528
0.70380061 0.07458500 0.03735042
0.70508670 0.07445915 0.03735500
0.70635801 0.07432868 0.03736626
0.70764409 0.07417779 0.03737770
0.70893018 0.07400173 0.03738767
0.71020149 0.07379605 0.03739484
0.71148758 0.07356723 0.03740073
0.71275888 0.07332731 0.03740599
0.71404497 0.07311345 0.03741736
0.71531627 0.07297888 0.03744586
0.71660236 0.07293015 0.03748422
0.71787367 0.07291643 0.03751362
0.71915976 0.07289073 0.03752608
0.72043106 0.07284279 0.03752551
0.72171715 0.07277774 0.03751706
0.72298845 0.07270807 0.03750671
0.72427454 0.07264515 0.03750015
0.72554585 0.07259109 0.03750051
0.72683194 0.07252533 0.03750356
0.72810324 0.07241767 0.03750215
0.72938933 0.07225590 0.03749221
0.73066064 0.07206654 0.03748359
0.73194672 0.07188826 0.03748482
0.73321803 0.07174616 0.03749883
0.73450412 0.07164604 0.03752242
0.73577542 0.07157274 0.03754574
0.73706151 0.07151104 0.03756444
0.73833282 0.07145348 0.03757705
0.73961890 0.07139690 0.03758398
0.74089021 0.07133903 0.03758528
0.74217630 0.07127688 0.03758070
0.74344760 0.07120869 0.03757023
0.74473369 0.07113350 0.03755410
0.74600500 0.07105358 0.03753388
0.74729108 0.07097668 0.03751340
0.74856239 0.07091066 0.03749622
0.74984848 0.07086108 0.03748424
0.75111978 0.07082908 0.03747765
0.75240587 0.07081297 0.03747533
0.75367718 0.07080979 0.03747598
0.75496327 0.07081664 0.03747868
0.75623457 0.07083067 0.03748237
0.75752066 0.07084925 0.03748637
0.75879196 0.07087020 0.03748997
0.76007805 0.07089185 0.03749266
0.76134936 0.07091389 0.03749432
0.76263545 0.07093709 0.03749511
0.76390675 0.07096387 0.03749554
0.76517806 0.07099843 0.03749667
0.76646414 0.07104724 0.03750027
0.76773545 0.07111744 0.03750821
0.76902154 0.07121119 0.03752030
0.77029284 0.07131538 0.03753105
0.77157893 0.07140454 0.03753266
0.77285024 0.07146206 0.03752415
0.77413633 0.07148444 0.03750816
0.77540763 0.07147177 0.03748718
0.77669372 0.07142497 0.03746328
0.77796502 0.07134447 0.03743694
0.77923633 0.07123504 0.03741039
0.78052242 0.07110567 0.03738729
0.78179372 0.07096816 0.03737058
0.78307981 0.07083422 0.03736205
0.78435112 0.07071609 0.03736312
0.78563720 0.07061802 0.03737165
0.78690851 0.07053352 0.03738315
0.78817982 0.07045930 0.03739525
0.78946590 0.07039424 0.03740676
0.79073721 0.07033792 0.03741679
0.79202330 0.07028892 0.03742446
0.79329460 0.07024481 0.03742908
0.79458069 0.07020056 0.03742947
0.79585200 0.07014926 0.03742482
0.79712330 0.07008589 0.03741585
0.79840939 0.07000604 0.03740449
0.79968070 0.06990617 0.03739126
0.80096678 0.06978525 0.03737691
0.80223809 0.06964528 0.03736259
0.80350939 0.06949644 0.03735202
0.80479548 0.06935227 0.03735053
0.80606679 0.06922433 0.03736200
0.80735288 0.06911432 0.03738471
0.80862418 0.06901372 0.03741219
0.80989549 0.06891971 0.03744113
0.81118157 0.06883384 0.03746975
0.81245288 0.06876114 0.03749866
0.81373897 0.06870604 0.03752863
0.81501027 0.06866006 0.03755626
0.81628158 0.06860774 0.03757697
0.81756767 0.06854174 0.03759025
0.81883897 0.06846089 0.03759700
0.82012506 0.06836099 0.03759563
0.82139637 0.06823733 0.03758433
0.82266767 0.06808106 0.03755815
0.82395376 0.06789574 0.03751925
0.82522507 0.06771020 0.03748415
0.82651115 0.06755446 0.03746865
0.82778246 0.06743267 0.03747302
0.82905376 0.06733448 0.03749087
0.83033985 0.06725041 0.03751756
0.83161116 0.06717118 0.03754846
0.83288246 0.06709137 0.03758154
0.83416855 0.06700572 0.03761462
0.83543986 0.06690897 0.03764558
0.83672594 0.06679636 0.03767249
0.83799725 0.06666526 0.03769460
0.83926856 0.06651414 0.03771155
0.84055464 0.06634195 0.03772308
0.84182595 0.06614798 0.03772878
0.84309725 0.06593279 0.03772836
0.84438334 0.06570041 0.03772269
0.84565465 0.06546028 0.03771406
0.84692595 0.06522658 0.03770580
0.84821204 0.06501919 0.03770309
0.84948335 0.06485854 0.03771114
0.85076944 0.06475093 0.03773163
0.85204074 0.06467061 0.03775457
0.85331205 0.06458731 0.03777323
0.85459813 0.06448472 0.03778613
0.85586944 0.06435644 0.03779331
0.85714075 0.06420325 0.03779756
0.85842683 0.06402356 0.03779790
0.85969814 0.06382054 0.03779629
0.86096944 0.06360022 0.03779343
0.86225553 0.06337679 0.03779425
0.86352684 0.06317379 0.03780519
0.86479814 0.06302043 0.03783637
0.86608423 0.06293273 0.03789204
0.86735554 0.06290089 0.03796399
0.86862684 0.06289957 0.03803818
0.86991293 0.06290356 0.03810086
0.87118424 0.06289565 0.03814577
0.87245554 0.06286252 0.03817212
0.87374163 0.06279348 0.03818075
0.87501293 0.06267906 0.03817244
0.87628424 0.06251346 0.03814899
0.87757033 0.06229631 0.03811202
0.87884163 0.06203242 0.03806499
0.88011294 0.06173239 0.03801247
0.88138424 0.06140995 0.03796017
0.88267033 0.06107952 0.03791333
0.88394164 0.06075281 0.03787534
0.88521294 0.06043804 0.03784787
0.88649903 0.06014138 0.03783207
0.88777034 0.05987448 0.03783290
0.88904164 0.05964532 0.03785180
0.89032773 0.05944604 0.03787952
0.89159904 0.05926972 0.03790795
0.89287034 0.05911878 0.03793517
0.89415643 0.05899666 0.03796181
0.89542774 0.05889925 0.03798641
0.89669904 0.05881733 0.03800762
0.89797035 0.05874045 0.03802371
0.89925643 0.05866211 0.03803576
0.90052774 0.05857796 0.03804418
0.90179905 0.05848352 0.03804893
0.90308513 0.05837593 0.03805092
0.90435644 0.05825127 0.03804879
0.90562774 0.05810714 0.03804263
0.90691383 0.05794246 0.03803200
0.90818514 0.05775872 0.03801762
0.90945644 0.05756001 0.03800011
0.91072775 0.05735833 0.03798379
0.91201384 0.05716714 0.03797190
0.91328514 0.05699870 0.03796705
0.91455645 0.05686203 0.03797033
0.91582775 0.05676082 0.03798018
0.91711384 0.05670000 0.03799727
0.91838515 0.05667899 0.03801999
0.91965645 0.05669524 0.03804788
0.92094254 0.05673821 0.03807840
0.92221385 0.05679087 0.03810812
0.92348515 0.05682572 0.03812930
0.92475646 0.05682009 0.03813588
0.92604254 0.05677437 0.03813087
0.92731385 0.05669975 0.03811982
0.92858516 0.05660902 0.03810816
0.92985646 0.05650854 0.03809820
0.93114255 0.05640039 0.03809019
0.93241385 0.05628634 0.03808496
0.93368516 0.05617158 0.03808459
0.93495647 0.05606894 0.03809633
0.93624255 0.05598472 0.03811982
0.93751386 0.05591824 0.03814877
0.93878516 0.05588690 0.03818626
0.94005647 0.05590399 0.03823386
0.94134256 0.05594478 0.03827966
0.94261386 0.05596955 0.03830966
0.94388517 0.05596570 0.03832414
0.94515647 0.05593519 0.03832708
0.94644256 0.05587788 0.03832044
0.94771387 0.05579359 0.03830485
0.94898517 0.05568050 0.03828006
0.95025648 0.05554051 0.03824673
0.95154257 0.05537532 0.03820497
0.95281387 0.05518379 0.03815229
0.95408518 0.05497407 0.03809233
0.95535648 0.05476962 0.03803603
0.95664257 0.05460755 0.03799978
0.95791388 0.05451932 0.03799484
0.95918518 0.05450506 0.03801677
0.96045649 0.05453306 0.03804923
0.96174258 0.05456520 0.03807811
0.96301388 0.05458622 0.03810006
0.96428519 0.05459198 0.03811524
0.96555649 0.05457580 0.03812177
0.96682780 0.05453031 0.03811551
0.96811389 0.05445167 0.03809566
0.96938519 0.05434219 0.03806378
0.97065650 0.05420753 0.03802312
0.97192780 0.05405580 0.03797725
0.97321389 0.05389375 0.03792862
0.97448520 0.05372977 0.03788013
0.97575650 0.05357224 0.03783432
0.97702781 0.05343153 0.03779443
0.97829911 0.05331765 0.03776356
0.97958520 0.05323315 0.03774152
0.98085651 0.05317541 0.03772678
0.98212781 0.05313474 0.03771509
0.98339912 0.05310260 0.03770405
0.98468520 0.05307180 0.03769191
0.98595651 0.05303628 0.03767717
0.98722781 0.05299241 0.03765950
0.98849912 0.05293602 0.03763778
0.98977043 0.05286441 0.03761136
0.99105651 0.05277787 0.03758089
0.99232782 0.05267941 0.03754820
0.99359912 0.05257297 0.03751552
