# s/c   P_w_mean    P_w_std
0.71404497 0.57648039 0.00039133
0.71531627 0.57664130 0.00037669
0.71660236 0.57678922 0.00036728
0.71787367 0.57691926 0.00036362
0.71915976 0.57703633 0.00036352
0.72043106 0.57714723 0.00036441
0.72171715 0.57725530 0.00036514
0.72298845 0.57736146 0.00036563
0.72427454 0.57746490 0.00036617
0.72554585 0.57756459 0.00036729
0.72683194 0.57766226 0.00036882
0.72810324 0.57776296 0.00036972
0.72938933 0.57787289 0.00036906
0.73066064 0.57799520 0.00036643
0.73194672 0.57812766 0.00036259
0.73321803 0.57826359 0.00035872
0.73450412 0.57839689 0.00035584
0.73577542 0.57852470 0.00035442
0.73706151 0.57864656 0.00035428
0.73833282 0.57876344 0.00035512
0.73961890 0.57887617 0.00035663
0.74089021 0.57898574 0.00035853
0.74217630 0.57909302 0.00036064
0.74344760 0.57919895 0.00036282
0.74473369 0.57930501 0.00036478
0.74600500 0.57941163 0.00036664
0.74729108 0.57951835 0.00036865
0.74856239 0.57962394 0.00037104
0.74984848 0.57972646 0.00037402
0.75111978 0.57982414 0.00037773
0.75240587 0.57991570 0.00038220
0.75367718 0.58000041 0.00038725
0.75496327 0.58007793 0.00039289
0.75623457 0.58014841 0.00039901
0.75752066 0.58021220 0.00040554
0.75879196 0.58026976 0.00041249
0.76007805 0.58032169 0.00041983
0.76134936 0.58036851 0.00042760
0.76263545 0.58041055 0.00043582
0.76390675 0.58044773 0.00044455
0.76517806 0.58047945 0.00045389
0.76646414 0.58050435 0.00046404
0.76773545 0.58052023 0.00047530
0.76902154 0.58052490 0.00048807
0.77029284 0.58051788 0.00050273
0.77157893 0.58050159 0.00051937
0.77285024 0.58048088 0.00053744
0.77413633 0.58046055 0.00055583
0.77540763 0.58044401 0.00057354
0.77669372 0.58043421 0.00058962
0.77796502 0.58043359 0.00060352
0.77923633 0.58044402 0.00061483
0.78052242 0.58046604 0.00062340
0.78179372 0.58049882 0.00062971
0.78307981 0.58054072 0.00063429
0.78435112 0.58058812 0.00063787
0.78563720 0.58063801 0.00064116
0.78690851 0.58068868 0.00064450
0.78817982 0.58073907 0.00064816
0.78946590 0.58078862 0.00065219
0.79073721 0.58083663 0.00065670
0.79202330 0.58088264 0.00066172
0.79329460 0.58092641 0.00066730
0.79458069 0.58096837 0.00067330
0.79585200 0.58100946 0.00067946
0.79712330 0.58105129 0.00068561
0.79840939 0.58109618 0.00069123
0.79968070 0.58114590 0.00069593
0.80096678 0.58120232 0.00069951
0.80223809 0.58126677 0.00070181
0.80350939 0.58133946 0.00070300
0.80479548 0.58141894 0.00070343
0.80606679 0.58150164 0.00070355
0.80735288 0.58158526 0.00070371
0.80862418 0.58166894 0.00070405
0.80989549 0.58175205 0.00070472
0.81118157 0.58183422 0.00070585
0.81245288 0.58191429 0.00070755
0.81373897 0.58199065 0.00071006
0.81501027 0.58206262 0.00071344
0.81628158 0.58213141 0.00071768
0.81756767 0.58219937 0.00072257
0.81883897 0.58226882 0.00072755
0.82012506 0.58234154 0.00073214
0.82139637 0.58242010 0.00073574
0.82266767 0.58250792 0.00073779
0.82395376 0.58260742 0.00073806
0.82522507 0.58271756 0.00073679
0.82651115 0.58283351 0.00073485
0.82778246 0.58294969 0.00073321
0.82905376 0.58306244 0.00073230
0.83033985 0.58317099 0.00073231
0.83161116 0.58327581 0.00073319
0.83288246 0.58337773 0.00073470
0.83416855 0.58347812 0.00073666
0.83543986 0.58357860 0.00073884
0.83672594 0.58368116 0.00074098
0.83799725 0.58378782 0.00074274
0.83926856 0.58390051 0.00074377
0.84055464 0.58402103 0.00074369
0.84182595 0.58415111 0.00074218
0.84309725 0.58429228 0.00073896
0.84438334 0.58444559 0.00073397
0.84565465 0.58461097 0.00072743
0.84692595 0.58478650 0.00071979
0.84821204 0.58496829 0.00071190
0.84948335 0.58515016 0.00070455
0.85076944 0.58532638 0.00069822
0.85204074 0.58549403 0.00069314
0.85331205 0.58565456 0.00068907
0.85459813 0.58581357 0.00068585
0.85586944 0.58597468 0.00068286
0.85714075 0.58614047 0.00067966
0.85842683 0.58631366 0.00067604
0.85969814 0.58649609 0.00067188
0.86096944 0.58668867 0.00066730
0.86225553 0.58689092 0.00066256
0.86352684 0.58709981 0.00065798
0.86479814 0.58730797 0.00065342
0.86608423 0.58750781 0.00064844
0.86735554 0.58769413 0.00064269
0.86862684 0.58786511 0.00063649
0.86991293 0.58802278 0.00063095
0.87118424 0.58817074 0.00062700
0.87245554 0.58831322 0.00062495
0.87374163 0.58845552 0.00062457
0.87501293 0.58860292 0.00062497
0.87628424 0.58876025 0.00062508
0.87757033 0.58893212 0.00062392
0.87884163 0.58912172 0.00062090
0.88011294 0.58933079 0.00061601
0.88138424 0.58955935 0.00060981
0.88267033 0.58980600 0.00060342
0.88394164 0.59006836 0.00059812
0.88521294 0.59034346 0.00059508
0.88649903 0.59062807 0.00059502
0.88777034 0.59091815 0.00059785
0.88904164 0.59120960 0.00060256
0.89032773 0.59149942 0.00060813
0.89159904 0.59178604 0.00061414
0.89287034 0.59206802 0.00062033
0.89415643 0.59234329 0.00062620
0.89542774 0.59261025 0.00063136
0.89669904 0.59286867 0.00063572
0.89797035 0.59311944 0.00063943
0.89925643 0.59336413 0.00064284
0.90052774 0.59360471 0.00064629
