# s/c    M_iso
0.53210046 0.97959428
0.53082916 0.97898047
0.52954307 0.97833962
0.52825698 0.97769120
0.52697089 0.97705918
0.52568480 0.97644716
0.52439872 0.97585081
0.52312741 0.97525407
0.52184132 0.97462796
0.52055524 0.97395893
0.51926915 0.97324675
0.51798306 0.97250056
0.51669697 0.97173624
0.51542567 0.97096677
0.51413958 0.97020092
0.51285349 0.96944094
0.51156740 0.96868271
0.51028131 0.96791691
0.50899523 0.96713469
0.50770914 0.96633245
0.50643783 0.96551199
0.50515174 0.96467909
0.50386566 0.96383980
0.50257957 0.96299509
0.50129348 0.96214290
0.50000739 0.96127942
0.49872130 0.96039850
0.49743522 0.95949569
0.49616391 0.95856812
0.49487782 0.95761526
0.49359173 0.95664025
0.49230565 0.95564827
0.49101956 0.95464591
0.48973347 0.95364021
0.48844738 0.95263745
0.48716129 0.95164266
0.48587521 0.95065742
0.48460390 0.94967657
0.48331781 0.94868640
0.48203172 0.94767159
0.48074564 0.94662910
0.47945955 0.94556793
0.47817346 0.94449840
0.47688737 0.94342694
0.47560128 0.94235285
0.47431520 0.94126689
0.47302911 0.94015655
0.47174302 0.93901130
0.47045693 0.93782569
0.46917084 0.93661139
0.46789954 0.93539463
0.46661345 0.93419639
0.46532736 0.93302215
0.46404127 0.93184270
0.46275519 0.93060797
0.46146910 0.92932199
0.46018301 0.92802990
0.45889692 0.92676559
0.45761083 0.92554617
0.45632474 0.92436502
0.45503866 0.92321099
0.45375257 0.92208571
0.45246648 0.92099204
0.45118039 0.91993766
0.44989430 0.91889681
0.44860822 0.91780522
0.44732213 0.91664119
0.44603604 0.91543332
0.44474995 0.91422244
0.44346386 0.91303826
0.44217778 0.91188697
0.44089169 0.91075743
0.43960560 0.90963481
0.43831951 0.90850971
0.43703342 0.90737899
0.43574734 0.90624265
0.43446125 0.90510220
0.43317516 0.90396005
0.43188907 0.90281985
0.43060298 0.90168900
0.42931690 0.90057710
0.42803081 0.89949096
0.42674472 0.89843300
0.42545863 0.89740676
0.42417254 0.89642562
0.42288645 0.89550230
0.42160037 0.89464331
0.42031428 0.89381751
0.41902819 0.89294505
0.41774210 0.89199571
0.41645601 0.89100299
0.41516993 0.89000641
0.41388384 0.88902384
0.41259775 0.88804900
0.41131166 0.88708920
0.41002557 0.88616063
0.40873949 0.88526320
0.40745340 0.88437417
0.40616731 0.88347316
0.40488122 0.88256359
0.40359513 0.88166876
0.40230905 0.88082499
0.40102296 0.88006368
0.39973687 0.87938100
0.39843600 0.87874186
0.39714991 0.87811074
0.39586382 0.87746911
0.39457773 0.87681595
0.39329165 0.87615619
0.39200556 0.87549268
0.39071947 0.87482396
0.38943338 0.87414965
0.38814729 0.87347741
0.38686121 0.87282290
