# s/c   M_is_mean    M_is_std
0.45889692 0.93408107 0.00704740
0.46018301 0.93512917 0.00708680
0.46146910 0.93618657 0.00714431
0.46275519 0.93735232 0.00723146
0.46404127 0.93863223 0.00734064
0.46532736 0.93990623 0.00744447
0.46661345 0.94110706 0.00753187
0.46789954 0.94224841 0.00761086
0.46917084 0.94338255 0.00769998
0.47045693 0.94456705 0.00781178
0.47174302 0.94581151 0.00794152
0.47302911 0.94709155 0.00808100
0.47431520 0.94837052 0.00821895
0.47560128 0.94960971 0.00834429
0.47688737 0.95079065 0.00845568
0.47817346 0.95191944 0.00855764
0.47945955 0.95302211 0.00865788
0.48074564 0.95413189 0.00876420
0.48203172 0.95527741 0.00888142
0.48331781 0.95645985 0.00900913
0.48460390 0.95764158 0.00913690
0.48587521 0.95879060 0.00925724
0.48716129 0.95989524 0.00936871
0.48844738 0.96095747 0.00947317
0.48973347 0.96199062 0.00957615
0.49101956 0.96300982 0.00968285
0.49230565 0.96402729 0.00979516
0.49359173 0.96505298 0.00991357
0.49487782 0.96609567 0.01003885
0.49616391 0.96715753 0.01016959
0.49743522 0.96823493 0.01030407
0.49872130 0.96931900 0.01044008
0.50000739 0.97039538 0.01057421
0.50129348 0.97144967 0.01070430
0.50257957 0.97247035 0.01082821
0.50386566 0.97344961 0.01094487
0.50515174 0.97439095 0.01105691
0.50643783 0.97531188 0.01116927
0.50770914 0.97622799 0.01128567
0.50899523 0.97714464 0.01140650
0.51028131 0.97805247 0.01152830
0.51156740 0.97892628 0.01164396
0.51285349 0.97974585 0.01174967
0.51413958 0.98050248 0.01184445
0.51542567 0.98120074 0.01193049
0.51669697 0.98186497 0.01201597
0.51798306 0.98252866 0.01210864
0.51926915 0.98322548 0.01221252
0.52055524 0.98397330 0.01232808
0.52184132 0.98477097 0.01245244
0.52312741 0.98558366 0.01257573
0.52439872 0.98634186 0.01268386
0.52568480 0.98700115 0.01276539
0.52697089 0.98755085 0.01282059
0.52825698 0.98801537 0.01286432
0.52954307 0.98846446 0.01291294
0.53082916 0.98895422 0.01297781
0.53210046 0.98950056 0.01305793
0.53338655 0.99006646 0.01313831
0.53467264 0.99058184 0.01320506
0.53595873 0.99101754 0.01325161
0.53724481 0.99138978 0.01328227
0.53853090 0.99175132 0.01331678
0.53980221 0.99216964 0.01336961
0.54108830 0.99266804 0.01343756
0.54237438 0.99322361 0.01351140
0.54366047 0.99379523 0.01358049
0.54494656 0.99434764 0.01363563
0.54621787 0.99485817 0.01367246
0.54750395 0.99533476 0.01369825
0.54879004 0.99582324 0.01372598
0.55007613 0.99635639 0.01376089
0.55134744 0.99695000 0.01380425
0.55263352 0.99759669 0.01385102
0.55391961 0.99825526 0.01389031
0.55520570 0.99888782 0.01391643
0.55649179 0.99948313 0.01392928
0.55776309 1.00005861 0.01393519
0.55904918 1.00065513 0.01394647
0.56033527 1.00130311 0.01396907
0.56162136 1.00200554 0.01400101
0.56289266 1.00274660 0.01403753
0.56417875 1.00349344 0.01407121
0.56546484 1.00422058 0.01409690
0.56675093 1.00491157 0.01411295
0.56803702 1.00555247 0.01411709
0.56930832 1.00613828 0.01411008
0.57059441 1.00667978 0.01409940
0.57188050 1.00720278 0.01409187
0.57316659 1.00773553 0.01409272
0.57443789 1.00830462 0.01410367
0.57572398 1.00893519 0.01412409
0.57701007 1.00964001 0.01415198
0.57829616 1.01041756 0.01418559
0.57956746 1.01124501 0.01422253
0.58085355 1.01206988 0.01425133
0.58213964 1.01285014 0.01426463
0.58341094 1.01356794 0.01426026
0.58469703 1.01421894 0.01423941
0.58598312 1.01481744 0.01421063
0.58726921 1.01539054 0.01418162
0.58854051 1.01595833 0.01415633
0.58982660 1.01652974 0.01413577
0.59111269 1.01709463 0.01411464
0.59239878 1.01762093 0.01408355
0.59367008 1.01808465 0.01403736
0.59495617 1.01849224 0.01397983
0.59624226 1.01887896 0.01392278
