# s/c    P_stat_mean   P_stat_std
0.51285349 0.53755322 0.00671162
0.51413958 0.53702077 0.00678126
0.51542567 0.53651887 0.00684635
0.51669697 0.53604604 0.00690753
0.51798306 0.53559322 0.00696772
0.51926915 0.53514567 0.00703074
0.52055524 0.53468655 0.00709913
0.52184132 0.53420714 0.00717300
0.52312741 0.53370803 0.00725099
0.52439872 0.53320578 0.00732833
0.52568480 0.53273576 0.00739719
0.52697089 0.53232119 0.00745167
0.52825698 0.53196658 0.00749249
0.52954307 0.53165899 0.00752709
0.53082916 0.53136259 0.00756443
0.53210046 0.53104815 0.00761037
0.53338655 0.53070590 0.00766459
0.53467264 0.53035274 0.00771981
0.53595873 0.53002300 0.00776835
0.53724481 0.52973104 0.00780689
0.53853090 0.52946986 0.00783744
0.53980221 0.52921438 0.00786924
0.54108830 0.52893080 0.00790984
0.54237438 0.52860711 0.00795835
0.54366047 0.52825578 0.00800965
0.54494656 0.52789787 0.00805819
0.54621787 0.52755232 0.00809924
0.54750395 0.52723231 0.00813029
0.54879004 0.52693454 0.00815506
0.55007613 0.52663719 0.00817952
0.55134744 0.52632258 0.00820717
0.55263352 0.52598101 0.00823901
0.55391961 0.52561559 0.00827242
0.55520570 0.52524522 0.00830248
0.55649179 0.52488810 0.00832561
0.55776309 0.52454863 0.00834198
0.55904918 0.52421619 0.00835533
0.56033527 0.52387065 0.00837162
0.56162136 0.52349817 0.00839315
0.56289266 0.52309775 0.00841886
0.56417875 0.52267755 0.00844656
0.56546484 0.52225460 0.00847192
0.56675093 0.52184229 0.00849246
0.56803702 0.52144949 0.00850744
0.56930832 0.52108387 0.00851562
0.57059441 0.52074845 0.00851728
0.57188050 0.52043819 0.00851591
0.57316659 0.52014025 0.00851512
0.57443789 0.51983985 0.00851776
0.57572398 0.51952263 0.00852505
0.57701007 0.51917530 0.00853713
0.57829616 0.51879066 0.00855307
0.57956746 0.51836922 0.00857196
0.58085355 0.51792262 0.00859206
0.58213964 0.51747590 0.00860754
