# s/c    P_w
-0.17710172 0.98899749
-0.17858146 0.98892857
-0.18006268 0.98885965
-0.18154390 0.98879699
-0.18302659 0.98872807
-0.18451077 0.98865915
-0.18599642 0.98859023
-0.18748355 0.98852130
-0.18897069 0.98845238
-0.19045930 0.98838346
-0.19194791 0.98831454
-0.19343947 0.98824561
-0.19493104 0.98817669
-0.19642408 0.98810777
-0.19791861 0.98803885
-0.19941313 0.98797619
-0.20090913 0.98790727
-0.20240661 0.98784461
-0.20390557 0.98777569
-0.20540453 0.98771303
-0.20690496 0.98765038
-0.20840540 0.98758772
-0.20990879 0.98752506
-0.21141218 0.98746241
