# s/c    P_stat
0.86352684 0.45435700
0.86225553 0.45461728
0.86096944 0.45488448
0.85969814 0.45516339
0.85842683 0.45545518
0.85714075 0.45575932
0.85586944 0.45607326
0.85459813 0.45639368
0.85331205 0.45671652
0.85204074 0.45703622
0.85076944 0.45734598
0.84948335 0.45764306
0.84821204 0.45793136
0.84692595 0.45821943
0.84565465 0.45851543
0.84438334 0.45882422
0.84309725 0.45914725
0.84182595 0.45948329
0.84055464 0.45982986
0.83926856 0.46018352
0.83799725 0.46054051
0.83672594 0.46089695
0.83543986 0.46124873
0.83416855 0.46159200
0.83288246 0.46192365
0.83161116 0.46224145
0.83033985 0.46254397
0.82905376 0.46283131
0.82778246 0.46310601
0.82651115 0.46337485
0.82522507 0.46364933
0.82395376 0.46393986
0.82266767 0.46424782
0.82139637 0.46456844
0.82012506 0.46489585
0.81883897 0.46522406
0.81756767 0.46554995
0.81628158 0.46587056
0.81501027 0.46618183
0.81373897 0.46647966
0.81245288 0.46676137
0.81118157 0.46702750
0.80989549 0.46727944
0.80862418 0.46751861
0.80735288 0.46774541
0.80606679 0.46796209
0.80479548 0.46817577
0.80350939 0.46839297
0.80223809 0.46861782
0.80096678 0.46885208
0.79968070 0.46909515
0.79840939 0.46934545
0.79712330 0.46960037
0.79585200 0.46985634
0.79458069 0.47010946
0.79329460 0.47035624
0.79202330 0.47059418
0.79073721 0.47082233
0.78946590 0.47104047
0.78817982 0.47124884
0.78690851 0.47144802
0.78563720 0.47163895
0.78435112 0.47182280
0.78307981 0.47200236
0.78179372 0.47218333
0.78052242 0.47237147
0.77923633 0.47257065
0.77796502 0.47278186
0.77669372 0.47300349
0.77540763 0.47323279
0.77413633 0.47346593
0.77285024 0.47369878
0.77157893 0.47392546
0.77029284 0.47413701
0.76902154 0.47432574
0.76773545 0.47448915
0.76646414 0.47462982
0.76517806 0.47475248
0.76390675 0.47486089
0.76263545 0.47495713
0.76134936 0.47504238
0.76007805 0.47511727
0.75879196 0.47518199
0.75752066 0.47523661
0.75623457 0.47528136
0.75496327 0.47531672
0.75367718 0.47534353
0.75240587 0.47536325
0.75111978 0.47537805
0.74984848 0.47539101
0.74856239 0.47540605
0.74729108 0.47542709
0.74600500 0.47545711
0.74473369 0.47549680
