# s/c    P_w
0.88904164 0.56311690
0.88777034 0.56270951
0.88649903 0.56230749
0.88521294 0.56191834
0.88394164 0.56154721
0.88267033 0.56119878
0.88138424 0.56087812
0.88011294 0.56058898
0.87884163 0.56033326
0.87757033 0.56011044
0.87628424 0.55991723
0.87501293 0.55974774
0.87374163 0.55959409
0.87245554 0.55944694
0.87118424 0.55929539
0.86991293 0.55912844
0.86862684 0.55893734
0.86735554 0.55871806
0.86608423 0.55847180
0.86479814 0.55820565
0.86352684 0.55792926
0.86225553 0.55765348
0.86096944 0.55738941
0.85969814 0.55714097
0.85842683 0.55690859
0.85714075 0.55669130
0.85586944 0.55648601
0.85459813 0.55628874
0.85331205 0.55609504
0.85204074 0.55589918
0.85076944 0.55569340
0.84948335 0.55547555
0.84821204 0.55524994
0.84692595 0.55502519
0.84565465 0.55481040
0.84438334 0.55461069
0.84309725 0.55442867
0.84182595 0.55426439
0.84055464 0.55411585
0.83926856 0.55398054
0.83799725 0.55385551
0.83672594 0.55373759
0.83543986 0.55362343
0.83416855 0.55350978
0.83288246 0.55339392
0.83161116 0.55327360
0.83033985 0.55314738
0.82905376 0.55301476
0.82778246 0.55287750
0.82651115 0.55274159
0.82522507 0.55261607
0.82395376 0.55250837
0.82266767 0.55241991
0.82139637 0.55234702
0.82012506 0.55228442
0.81883897 0.55222790
0.81756767 0.55217485
0.81628158 0.55212236
0.81501027 0.55206632
0.81373897 0.55200321
0.81245288 0.55193127
0.81118157 0.55185100
0.80989549 0.55176469
0.80862418 0.55167371
0.80735288 0.55157973
0.80606679 0.55148579
0.80479548 0.55139604
0.80350939 0.55131672
0.80223809 0.55125126
0.80096678 0.55120036
0.79968070 0.55116361
0.79840939 0.55113856
0.79712330 0.55112266
0.79585200 0.55111223
0.79458069 0.55110254
0.79329460 0.55109079
0.79202330 0.55107529
0.79073721 0.55105521
0.78946590 0.55103088
0.78817982 0.55100299
0.78690851 0.55097271
0.78563720 0.55094131
0.78435112 0.55091083
0.78307981 0.55088502
0.78179372 0.55086947
0.78052242 0.55087038
0.77923633 0.55089136
0.77796502 0.55093277
0.77669372 0.55099290
0.77540763 0.55106847
0.77413633 0.55115539
0.77285024 0.55124871
0.77157893 0.55134186
0.77029284 0.55142583
0.76902154 0.55149309
0.76773545 0.55154129
0.76646414 0.55157269
0.76517806 0.55159131
0.76390675 0.55160018
0.76263545 0.55160075
0.76134936 0.55159348
0.76007805 0.55157833
0.75879196 0.55155471
0.75752066 0.55152181
0.75623457 0.55147910
0.75496327 0.55142608
0.75367718 0.55136264
0.75240587 0.55128953
0.75111978 0.55120794
0.74984848 0.55112008
0.74856239 0.55102890
0.74729108 0.55093741
0.74600500 0.55084761
0.74473369 0.55076008
0.74344760 0.55067399
0.74217630 0.55058697
0.74089021 0.55049725
0.73961890 0.55040314
0.73833282 0.55030273
0.73706151 0.55019427
0.73577542 0.55007576
0.73450412 0.54994530
0.73321803 0.54980379
0.73194672 0.54965685
0.73066064 0.54951430
0.72938933 0.54938651
0.72810324 0.54927736
0.72683194 0.54918380
0.72554585 0.54909913
0.72427454 0.54901693
0.72298845 0.54893496
0.72171715 0.54885235
0.72043106 0.54876846
0.71915976 0.54868037
0.71787367 0.54858049
0.71660236 0.54845918
0.71531627 0.54830880
0.71404497 0.54813548
0.71275888 0.54795490
0.71148758 0.54778164
0.71020149 0.54762514
0.70893018 0.54748459
0.70764409 0.54735674
0.70635801 0.54723909
0.70508670 0.54713166
0.70380061 0.54703658
0.70252931 0.54695672
0.70124322 0.54688692
0.69997191 0.54681188
0.69868582 0.54672036
0.69741452 0.54660801
0.69612843 0.54648046
0.69484234 0.54634617
0.69357104 0.54621020
0.69228495 0.54607589
0.69101364 0.54594104
0.68972756 0.54580334
0.68845625 0.54565818
0.68717016 0.54549667
0.68589886 0.54531633
0.68461277 0.54512740
0.68332668 0.54495120
0.68205538 0.54480529
0.68076929 0.54469556
0.67949798 0.54462276
0.67821189 0.54458662
0.67692581 0.54458817
0.67565450 0.54462734
0.67436841 0.54469735
0.67309711 0.54477890
0.67181102 0.54484740
0.67053971 0.54488943
0.66925363 0.54490177
0.66796754 0.54488931
0.66669623 0.54486419
0.66541014 0.54484348
0.66413884 0.54484785
0.66285275 0.54488898
0.66156666 0.54496803
0.66029536 0.54507970
0.65900927 0.54521665
0.65772318 0.54537761
0.65645188 0.54556472
0.65516579 0.54577810
0.65389448 0.54601307
