# s/c    P_stat
0.65772318 0.57616611
0.65645188 0.57628808
0.65516579 0.57641826
0.65389448 0.57655531
0.65260839 0.57669735
0.65132231 0.57684252
0.65005100 0.57698881
0.64876491 0.57713438
0.64749361 0.57727741
0.64620752 0.57741636
0.64492143 0.57754977
0.64365012 0.57767609
0.64236404 0.57779406
0.64107795 0.57790221
0.63980664 0.57800038
0.63852056 0.57809148
0.63723447 0.57818080
0.63596316 0.57827441
0.63467707 0.57837745
0.63339099 0.57849403
0.63211968 0.57862690
0.63083359 0.57877667
0.62954750 0.57894142
0.62827620 0.57911795
0.62699011 0.57929960
0.62571880 0.57947699
0.62443272 0.57964584
0.62314663 0.57980704
0.62187532 0.57996438
0.62058924 0.58012207
0.61930315 0.58028237
0.61801706 0.58044595
0.61674575 0.58061202
0.61545967 0.58077928
0.61417358 0.58094541
0.61290227 0.58110766
0.61161618 0.58126617
0.61033010 0.58142527
0.60905879 0.58159212
0.60777270 0.58177341
0.60648661 0.58197152
0.60521531 0.58218449
0.60392922 0.58240623
0.60264313 0.58262802
0.60137183 0.58284318
0.60008574 0.58304844
0.59879965 0.58324480
0.59751356 0.58343697
0.59624226 0.58363137
0.59495617 0.58383432
0.59367008 0.58404943
0.59239878 0.58427598
0.59111269 0.58450900
0.58982660 0.58474337
0.58854051 0.58497870
0.58726921 0.58521827
0.58598312 0.58546679
0.58469703 0.58572878
0.58341094 0.58600504
0.58213964 0.58629347
0.58085355 0.58658856
0.57956746 0.58687974
0.57829616 0.58715628
0.57701007 0.58741253
0.57572398 0.58764950
0.57443789 0.58787306
0.57316659 0.58809205
0.57188050 0.58831461
0.57059441 0.58854724
0.56930832 0.58879520
0.56803702 0.58905826
0.56675093 0.58933402
0.56546484 0.58961865
0.56417875 0.58990723
0.56289266 0.59019375
0.56162136 0.59047075
0.56033527 0.59073534
0.55904918 0.59098942
0.55776309 0.59123915
0.55649179 0.59149103
0.55520570 0.59174749
0.55391961 0.59200494
0.55263352 0.59225444
0.55134744 0.59248850
0.55007613 0.59270829
0.54879004 0.59291981
0.54750395 0.59313123
0.54621787 0.59335144
0.54494656 0.59357988
0.54366047 0.59381037
0.54237438 0.59403501
0.54108830 0.59424554
0.53980221 0.59443862
0.53853090 0.59462207
0.53724481 0.59481023
0.53595873 0.59501047
0.53467264 0.59522463
0.53338655 0.59544561
0.53210046 0.59565641
0.53082916 0.59585228
0.52954307 0.59604036
0.52825698 0.59623382
0.52697089 0.59644825
0.52568480 0.59668493
0.52439872 0.59694002
0.52312741 0.59720419
0.52184132 0.59746059
0.52055524 0.59770333
0.51926915 0.59793457
0.51798306 0.59816079
0.51669697 0.59839167
0.51542567 0.59863414
0.51413958 0.59889202
0.51285349 0.59916502
0.51156740 0.59944988
0.51028131 0.59974131
0.50899523 0.60003446
0.50770914 0.60032833
0.50643783 0.60062489
0.50515174 0.60092780
0.50386566 0.60124088
0.50257957 0.60156395
0.50129348 0.60189476
0.50000739 0.60223048
0.49872130 0.60256722
0.49743522 0.60290209
0.49616391 0.60323339
0.49487782 0.60356117
0.49359173 0.60388721
0.49230565 0.60421442
0.49101956 0.60454635
0.48973347 0.60488603
0.48844738 0.60523589
0.48716129 0.60559760
0.48587521 0.60597032
0.48460390 0.60634971
0.48331781 0.60672732
0.48203172 0.60709494
0.48074564 0.60745324
0.47945955 0.60781050
0.47817346 0.60817492
0.47688737 0.60855176
0.47560128 0.60894148
0.47431520 0.60933866
0.47302911 0.60973565
0.47174302 0.61012611
0.47045693 0.61050650
0.46917084 0.61088359
0.46789954 0.61127225
0.46661345 0.61168248
0.46532736 0.61211380
0.46404127 0.61254550
0.46275519 0.61294695
0.46146910 0.61332463
0.46018301 0.61371005
0.45889692 0.61412584
0.45761083 0.61458325
0.45632474 0.61507676
0.45503866 0.61559768
0.45375257 0.61614487
0.45246648 0.61671671
0.45118039 0.61731416
0.44989430 0.61791651
0.44860822 0.61848059
0.44732213 0.61899479
0.44603604 0.61947955
0.44474995 0.61996041
0.44346386 0.62045321
0.44217778 0.62095837
0.44089169 0.62146663
0.43960560 0.62196790
0.43831951 0.62245675
0.43703342 0.62293173
0.43574734 0.62339275
0.43446125 0.62384009
0.43317516 0.62427408
0.43188907 0.62469563
0.43060298 0.62510786
0.42931690 0.62551568
0.42803081 0.62592302
0.42674472 0.62633152
0.42545863 0.62674327
0.42417254 0.62716607
0.42288645 0.62760528
0.42160037 0.62806112
0.42031428 0.62850927
0.41902819 0.62889630
0.41774210 0.62920652
0.41645601 0.62946592
0.41516993 0.62970268
0.41388384 0.62993013
0.41259775 0.63014669
0.41131166 0.63036097
0.41002557 0.63058630
0.40873949 0.63082381
0.40745340 0.63105967
0.40616731 0.63128216
0.40488122 0.63149580
0.40359513 0.63171686
0.40230905 0.63196795
0.40102296 0.63226701
0.39973687 0.63260666
0.39843600 0.63295935
0.39714991 0.63330090
0.39586382 0.63362054
0.39457773 0.63391953
0.39329165 0.63420277
0.39200556 0.63447299
0.39071947 0.63472951
0.38943338 0.63497236
0.38814729 0.63520634
0.38686121 0.63544030
0.38557512 0.63568350
0.38428903 0.63594332
0.38298816 0.63622412
0.38170207 0.63651971
0.38041598 0.63681055
0.37912989 0.63707836
0.37784381 0.63732073
0.37655772 0.63754791
0.37527163 0.63777065
0.37398554 0.63799403
0.37269945 0.63821816
0.37139858 0.63843730
0.37011250 0.63864709
0.36882641 0.63885505
0.36754032 0.63907250
0.36625423 0.63930539
0.36496814 0.63955036
0.36368206 0.63979716
0.36238118 0.64003652
0.36109510 0.64026364
0.35980901 0.64047931
0.35852292 0.64068300
0.35723683 0.64086920
0.35595074 0.64103683
0.35466466 0.64119353
0.35336379 0.64135037
0.35207770 0.64151526
0.35079161 0.64168997
0.34950552 0.64187400
0.34821943 0.64206607
0.34693335 0.64225892
0.34563247 0.64244194
0.34434639 0.64260743
0.34306030 0.64275299
0.34177421 0.64288073
0.34048812 0.64299593
0.33918725 0.64310540
0.33790116 0.64321618
0.33661508 0.64333409
0.33532899 0.64346239
0.33404290 0.64360434
0.33275681 0.64376338
0.33145594 0.64393971
0.33016985 0.64413036
0.32888376 0.64432971
0.32759768 0.64452963
0.32629681 0.64472378
0.32501072 0.64490784
0.32372463 0.64508172
0.32243854 0.64525408
0.32115245 0.64543976
0.31985158 0.64565548
0.31856549 0.64591662
0.31727941 0.64623414
0.31599332 0.64660691
0.31469245 0.64702665
0.31340636 0.64749260
0.31212027 0.64801018
0.31083418 0.64858190
0.30953331 0.64919575
0.30824722 0.64983449
0.30696114 0.65049161
0.30567505 0.65117639
0.30437418 0.65191181
0.30308809 0.65271885
0.30180200 0.65360770
0.30051591 0.65457518
0.29921504 0.65560914
0.29792895 0.65669618
0.29664287 0.65782965
0.29534200 0.65901565
0.29405591 0.66026872
0.29276982 0.66159963
0.29148373 0.66301202
0.29018286 0.66449689
0.28889677 0.66602883
0.28761068 0.66758465
0.28630981 0.66917669
0.28502373 0.67083348
0.28373764 0.67257261
0.28243677 0.67439121
0.28115068 0.67625546
0.27986459 0.67814211
0.27857850 0.68005179
0.27727763 0.68198927
0.27599154 0.68396380
0.27470546 0.68599429
0.27340459 0.68809199
0.27211850 0.69025655
0.27083241 0.69247594
0.26953154 0.69472453
0.26824545 0.69698518
0.26695936 0.69925213
0.26565849 0.70153398
0.26437240 0.70385100
0.26307153 0.70621143
0.26178545 0.70861344
0.26049936 0.71105324
0.25919849 0.71352674
0.25791240 0.71603219
0.25662631 0.71856870
0.25532544 0.72113658
0.25403935 0.72373692
0.25275326 0.72637155
0.25145239 0.72903922
0.25016630 0.73173481
0.24886543 0.73445421
0.24757935 0.73719559
0.24629326 0.73995673
0.24499239 0.74273592
0.24370630 0.74552821
0.24240543 0.74832488
0.24111934 0.75112075
0.23983325 0.75391754
0.23853238 0.75672293
0.23724629 0.75954485
0.23594542 0.76238539
0.23465933 0.76523903
0.23337325 0.76809432
0.23207238 0.77094038
0.23078629 0.77376981
0.22948542 0.77657769
0.22819933 0.77935953
0.22689846 0.78211111
0.22561237 0.78483389
0.22432628 0.78753543
0.22302541 0.79021972
0.22173932 0.79288389
0.22043845 0.79552219
0.21915236 0.79812859
0.21785149 0.80069839
0.21656541 0.80323028
0.21526454 0.80572612
0.21397845 0.80818884
0.21267758 0.81062456
0.21139149 0.81303358
0.21009062 0.81540507
0.20880453 0.81772519
0.20750366 0.81998349
0.20621757 0.82219291
0.20493148 0.82439283
0.20363061 0.82659929
0.20234452 0.82880240
0.20104365 0.83099145
0.19975757 0.83315568
0.19845669 0.83529387
0.19717061 0.83740689
0.19586974 0.83948662
0.19458365 0.84152257
0.19328278 0.84349686
0.19199669 0.84541307
0.19069582 0.84731140
0.18939495 0.84921669
0.18810886 0.85112426
0.18680799 0.85301789
0.18552190 0.85488446
0.18422103 0.85672185
0.18293494 0.85853648
0.18163407 0.86033661
0.18034798 0.86212727
0.17904711 0.86391069
0.17776102 0.86568856
0.17646015 0.86746331
0.17517407 0.86923863
0.17387319 0.87101903
0.17257232 0.87280861
0.17128624 0.87461082
0.16998537 0.87642708
0.16869928 0.87825651
0.16739841 0.88009285
0.16611232 0.88191812
0.16481145 0.88370926
0.16351058 0.88543999
0.16222449 0.88710874
0.16092362 0.88875933
0.15963753 0.89041997
0.15833666 0.89208726
0.15703579 0.89375013
0.15574970 0.89540663
0.15444883 0.89706882
0.15316274 0.89873688
0.15186187 0.90040035
0.15056100 0.90205516
0.14927491 0.90371368
0.14797404 0.90539307
0.14668795 0.90709986
0.14538708 0.90882729
0.14408621 0.91055355
0.14280012 0.91224774
0.14149925 0.91389494
0.14019838 0.91550352
0.13891229 0.91708911
0.13761142 0.91866254
0.13632534 0.92022615
0.13502447 0.92177801
0.13372359 0.92331719
0.13243751 0.92484629
0.13113664 0.92636842
0.12983577 0.92787854
0.12854968 0.92855023
0.12724881 0.92995216
0.12594794 0.93133536
0.12466185 0.93269969
0.12336098 0.93404501
0.12206011 0.93537121
0.12075924 0.93667818
0.11947315 0.93796584
0.11817228 0.93923412
0.11687141 0.94048297
0.11558532 0.94171234
0.11428445 0.94292221
0.11298358 0.94411259
0.11169749 0.94528348
0.11039662 0.94643490
0.10909575 0.94756691
0.10779488 0.94867956
0.10650879 0.94977294
0.10520792 0.95084712
0.10390705 0.95190224
0.10260618 0.95293841
0.10132009 0.95395577
0.10001922 0.95495449
0.09871835 0.95593473
0.09743226 0.95689670
0.09613139 0.95784059
0.09483052 0.95876663
0.09352965 0.95967505
0.09224356 0.96056610
0.09094269 0.96144005
0.08964182 0.96229717
0.08834095 0.96313776
0.08704008 0.96396211
0.08575399 0.96477055
0.08445312 0.96556341
0.08315225 0.96634101
0.08185138 0.96710372
0.08056529 0.96785189
0.07926442 0.96858590
0.07796355 0.96930611
0.07666268 0.97001293
0.07536180 0.97070673
0.07407572 0.97138794
0.07277485 0.97205694
0.07147398 0.97271416
0.07017310 0.97336001
0.06887223 0.97399491
0.06757136 0.97461928
0.06628528 0.97523356
0.06498440 0.97583816
0.06368353 0.97643352
0.06238266 0.97702005
0.06108179 0.97759819
0.05978092 0.97816835
0.05849483 0.97873094
0.05719396 0.97928638
0.05589309 0.97983507
0.05459222 0.98037741
0.05329135 0.98091378
0.05199048 0.98144457
0.05068961 0.98197014
0.04940352 0.98249085
0.04810265 0.98300703
0.04680178 0.98351902
0.04550091 0.98402712
0.04420004 0.98453162
0.04289917 0.98503280
0.04159830 0.98553090
0.04029743 0.98602617
0.03901134 0.98651880
0.03771047 0.98700898
0.03640960 0.98749685
0.03510873 0.98798256
0.03380786 0.98846619
0.03250698 0.98894782
0.03120611 0.98942746
0.02990524 0.98990513
0.02860437 0.99038078
0.02730350 0.99085433
0.02600263 0.99132568
0.02470176 0.99179465
0.02341567 0.99226105
0.02211480 0.99272463
0.02081393 0.99318510
0.01951306 0.99364211
0.01821219 0.99409526
0.01691132 0.99454411
0.01561045 0.99498815
0.01430958 0.99542683
0.01300871 0.99585952
0.01170784 0.99628554
0.01040697 0.99670414
0.00910609 0.99711452
0.00780522 0.99751580
0.00650435 0.99790703
0.00520348 0.99828719
0.00390261 0.99865518
0.00260174 0.99900984
0.00130087 0.99934991
0.00000000 0.99967406
-0.00000000 0.99868990
-0.00130087 0.99911498
-0.00260335 0.99934495
-0.00390746 0.99954704
-0.00521317 0.99967944
-0.00652048 0.99979094
-0.00782941 0.99987456
-0.00913993 0.99993031
-0.01045207 0.99996516
-0.01176578 0.99997909
-0.01308110 0.99997213
-0.01439801 0.99994425
-0.01571644 0.99989547
-0.01703653 0.99981185
-0.01835824 0.99970035
-0.01968143 0.99956098
-0.02100625 0.99938676
-0.02233255 0.99917770
-0.02366047 0.99893380
-0.02499002 0.99865505
-0.02632105 0.99835540
-0.02765326 0.99805575
-0.02898739 0.99781185
-0.03032315 0.99760976
-0.03166038 0.99743554
-0.03299939 0.99726829
-0.03433973 0.99711498
-0.03568185 0.99695470
-0.03702529 0.99680139
-0.03837051 0.99664808
-0.03971706 0.99649477
-0.04106524 0.99633449
-0.04241504 0.99617422
-0.04376617 0.99600697
-0.04511893 0.99584669
-0.04647316 0.99571429
-0.04782902 0.99562369
-0.04918636 0.99554007
-0.05054518 0.99547038
-0.05190548 0.99540767
-0.05326740 0.99533798
-0.05463080 0.99527526
-0.05599568 0.99521254
-0.05736204 0.99514983
-0.05872988 0.99508711
-0.06009919 0.99503136
-0.06146998 0.99496864
-0.06284240 0.99491289
-0.06421615 0.99485017
-0.06559138 0.99478746
-0.06696823 0.99471777
-0.06834642 0.99464808
-0.06972608 0.99457143
-0.07110722 0.99449477
-0.07248984 0.99442509
-0.07387393 0.99434843
-0.07525951 0.99427178
-0.07664641 0.99419512
-0.07803480 0.99411847
-0.07942466 0.99404878
-0.08081600 0.99397213
-0.08220867 0.99389547
-0.08360282 0.99381882
-0.08499845 0.99374913
-0.08639541 0.99367247
-0.08779384 0.99360279
-0.08919376 0.99352613
-0.09059500 0.99344948
-0.09199772 0.99337979
-0.09340178 0.99331010
