# s/c    M_iso_mean    M_iso_std
0.71404497 1.07456320 0.01008901
0.71531627 1.07479334 0.01009502
0.71660236 1.07503659 0.01011021
0.71787367 1.07530133 0.01013550
0.71915976 1.07557746 0.01016406
0.72043106 1.07585222 0.01019043
0.72171715 1.07611703 0.01021191
0.72298845 1.07636812 0.01022809
0.72427454 1.07660707 0.01024063
0.72554585 1.07683603 0.01025076
0.72683194 1.07705410 0.01025863
0.72810324 1.07725393 0.01026084
0.72938933 1.07742600 0.01025273
0.73066064 1.07756681 0.01023289
0.73194672 1.07768077 0.01020369
0.73321803 1.07777976 0.01017068
0.73450412 1.07787498 0.01013792
0.73577542 1.07797176 0.01010656
0.73706151 1.07807049 0.01007550
0.73833282 1.07816915 0.01004282
0.73961890 1.07826544 0.01000703
0.74089021 1.07835719 0.00996697
0.74217630 1.07844206 0.00992162
0.74344760 1.07851663 0.00986958
0.74473369 1.07857801 0.00980999
0.74600500 1.07862482 0.00974270
0.74729108 1.07865794 0.00966853
0.74856239 1.07868141 0.00958954
0.74984848 1.07870123 0.00950821
0.75111978 1.07872373 0.00942674
0.75240587 1.07875428 0.00934663
0.75367718 1.07879676 0.00926864
0.75496327 1.07885398 0.00919306
0.75623457 1.07892784 0.00911990
0.75752066 1.07901943 0.00904892
0.75879196 1.07912934 0.00897976
0.76007805 1.07925793 0.00891209
0.76134936 1.07940549 0.00884556
0.76263545 1.07957292 0.00878011
0.76390675 1.07976213 0.00871592
0.76517806 1.07997612 0.00865350
0.76646414 1.08022016 0.00859426
0.76773545 1.08050070 0.00853984
0.76902154 1.08082339 0.00849163
0.77029284 1.08118887 0.00844935
0.77157893 1.08159095 0.00841050
0.77285024 1.08201856 0.00837154
0.77413633 1.08245922 0.00832919
0.77540763 1.08290413 0.00828221
0.77669372 1.08334597 0.00822983
0.77796502 1.08377805 0.00817137
0.77923633 1.08419570 0.00810663
0.78052242 1.08459782 0.00803674
0.78179372 1.08498619 0.00796357
0.78307981 1.08536504 0.00788902
0.78435112 1.08574237 0.00781662
0.78563720 1.08612430 0.00774835
0.78690851 1.08651453 0.00768452
0.78817982 1.08691538 0.00762508
0.78946590 1.08732793 0.00756942
0.79073721 1.08775339 0.00751696
0.79202330 1.08819230 0.00746693
0.79329460 1.08864479 0.00741853
0.79458069 1.08910933 0.00737043
0.79585200 1.08958227 0.00732121
0.79712330 1.09005915 0.00726954
0.79840939 1.09053540 0.00721467
0.79968070 1.09100627 0.00715611
0.80096678 1.09146699 0.00709342
0.80223809 1.09191419 0.00702637
0.80350939 1.09234888 0.00695629
0.80479548 1.09277623 0.00688519
0.80606679 1.09320493 0.00681611
0.80735288 1.09364564 0.00675310
0.80862418 1.09410257 0.00669602
0.80989549 1.09457590 0.00664392
0.81118157 1.09506684 0.00659660
0.81245288 1.09557741 0.00655366
0.81373897 1.09611082 0.00651553
