# s/c    cf
0.33532899 0.04572932
0.33404290 0.04622084
0.33275681 0.04672716
0.33145594 0.04720410
0.33016985 0.04762452
0.32888376 0.04798694
0.32759768 0.04830427
0.32629681 0.04861219
0.32501072 0.04897508
0.32372463 0.04945885
0.32243854 0.05010793
0.32115245 0.05092113
0.31985158 0.05186394
0.31856549 0.05288559
0.31727941 0.05390558
0.31599332 0.05485099
0.31469245 0.05573572
0.31340636 0.05663093
0.31212027 0.05751585
0.31083418 0.05830653
0.30953331 0.05898468
0.30824722 0.05963392
0.30696114 0.06038407
0.30567505 0.06130111
0.30437418 0.06237632
0.30308809 0.06352130
0.30180200 0.06460979
0.30051591 0.06557202
0.29921504 0.06641907
0.29792895 0.06721829
0.29664287 0.06805728
0.29534200 0.06900361
0.29405591 0.07002834
0.29276982 0.07103847
0.29148373 0.07192701
0.29018286 0.07261817
0.28889677 0.07312065
0.28761068 0.07366889
0.28630981 0.07444895
0.28502373 0.07534440
0.28373764 0.07617657
0.28243677 0.07678571
0.28115068 0.07714581
0.27986459 0.07744456
0.27857850 0.07781415
0.27727763 0.07827479
0.27599154 0.07885278
0.27470546 0.07952139
0.27340459 0.08016860
0.27211850 0.08064791
0.27083241 0.08091907
0.26953154 0.08101775
0.26824545 0.08105895
0.26695936 0.08120883
0.26565849 0.08151197
0.26437240 0.08190160
0.26307153 0.08227862
0.26178545 0.08259502
0.26049936 0.08285969
0.25919849 0.08307431
0.25791240 0.08325664
0.25662631 0.08342108
0.25532544 0.08358152
0.25403935 0.08373909
0.25275326 0.08387505
0.25145239 0.08395709
0.25016630 0.08397746
0.24886543 0.08395178
0.24757935 0.08388632
0.24629326 0.08377812
0.24499239 0.08361520
0.24370630 0.08338465
0.24240543 0.08310258
0.24111934 0.08282960
0.23983325 0.08260707
0.23853238 0.08242670
0.23724629 0.08223857
0.23594542 0.08196978
0.23465933 0.08157323
0.23337325 0.08105211
0.23207238 0.08044281
0.23078629 0.07977795
0.22948542 0.07907603
0.22819933 0.07835687
0.22689846 0.07766368
0.22561237 0.07702942
0.22432628 0.07643317
0.22302541 0.07581706
0.22173932 0.07514411
0.22043845 0.07442045
0.21915236 0.07366929
0.21785149 0.07291685
0.21656541 0.07219129
0.21526454 0.07150688
0.21397845 0.07086344
0.21267758 0.07023114
0.21139149 0.06953982
0.21009062 0.06874950
0.20880453 0.06791698
0.20750366 0.06720355
0.20621757 0.06675808
0.20493148 0.06649305
0.20363061 0.06616763
0.20234452 0.06569108
0.20104365 0.06512870
0.19975757 0.06453994
0.19845669 0.06394660
0.19717061 0.06330875
0.19586974 0.06257481
0.19458365 0.06174229
0.19328278 0.06099228
0.19199669 0.06051699
0.19069582 0.06027134
0.18939495 0.06003367
0.18810886 0.05963102
0.18680799 0.05912225
0.18552190 0.05861470
0.18422103 0.05818079
0.18293494 0.05782890
0.18163407 0.05752731
0.18034798 0.05725370
0.17904711 0.05699976
0.17776102 0.05677072
0.17646015 0.05657415
0.17517407 0.05641317
0.17387319 0.05627884
0.17257232 0.05615446
