# s/c    cf
0.23465933 0.07921340
0.23337325 0.07871412
0.23207238 0.07813105
0.23078629 0.07749576
0.22948542 0.07682531
0.22819933 0.07613782
0.22689846 0.07547352
0.22561237 0.07486336
0.22432628 0.07428792
0.22302541 0.07369323
0.22173932 0.07304437
0.22043845 0.07234725
0.21915236 0.07162381
0.21785149 0.07089878
0.21656541 0.07019853
0.21526454 0.06953664
0.21397845 0.06891355
0.21267758 0.06830144
0.21139149 0.06763426
0.21009062 0.06687377
0.20880453 0.06607329
0.20750366 0.06538532
0.20621757 0.06494992
0.20493148 0.06468466
0.20363061 0.06436290
0.20234452 0.06389834
0.20104365 0.06335261
0.19975757 0.06278220
0.19845669 0.06220788
0.19717061 0.06159170
0.19586974 0.06088449
0.19458365 0.06008404
0.19328278 0.05936191
0.19199669 0.05890012
0.19069582 0.05865641
0.18939495 0.05842064
0.18810886 0.05802866
0.18680799 0.05753631
0.18552190 0.05704533
0.18422103 0.05662478
0.18293494 0.05628205
0.18163407 0.05598703
0.18034798 0.05571869
0.17904711 0.05546927
0.17776102 0.05524397
0.17646015 0.05505003
0.17517407 0.05489047
0.17387319 0.05475665
0.17257232 0.05463256
0.17128624 0.05449647
0.16998537 0.05432036
0.16869928 0.05406143
0.16739841 0.05366639
0.16611232 0.05308494
0.16481145 0.05232722
0.16351058 0.05161779
0.16222449 0.05117882
0.16092362 0.05098976
0.15963753 0.05082379
0.15833666 0.05055331
0.15703579 0.05026811
0.15574970 0.05004525
0.15444883 0.04985229
0.15316274 0.04958506
0.15186187 0.04927500
0.15056100 0.04903115
0.14927491 0.04888046
0.14797404 0.04874520
0.14668795 0.04852804
0.14538708 0.04812897
0.14408621 0.04752316
0.14280012 0.04681463
0.14149925 0.04615863
0.14019838 0.04563674
0.13891229 0.04519203
0.13761142 0.04475921
0.13632534 0.04430884
0.13502447 0.04384141
0.13372359 0.04337251
0.13243751 0.04290920
0.13113664 0.04240959
0.12983577 0.04182157
0.12854968 0.04158767
0.12724881 0.04112027
0.12594794 0.04064926
0.12466185 0.04017483
0.12336098 0.03969723
0.12206011 0.03921669
0.12075924 0.03873347
0.11947315 0.03824786
0.11817228 0.03776014
0.11687141 0.03727061
0.11558532 0.03677960
0.11428445 0.03628743
0.11298358 0.03579443
0.11169749 0.03530098
0.11039662 0.03480741
0.10909575 0.03431412
0.10779488 0.03382147
0.10650879 0.03332985
0.10520792 0.03283967
0.10390705 0.03235132
0.10260618 0.03186521
0.10132009 0.03138176
0.10001922 0.03090136
0.09871835 0.03042445
0.09743226 0.02995143
0.09613139 0.02948273
0.09483052 0.02901876
0.09352965 0.02855993
0.09224356 0.02810666
0.09094269 0.02765934
0.08964182 0.02721838
0.08834095 0.02678416
0.08704008 0.02635707
0.08575399 0.02593748
0.08445312 0.02552575
0.08315225 0.02512222
0.08185138 0.02472723
0.08056529 0.02434108
0.07926442 0.02396408
0.07796355 0.02359651
0.07666268 0.02323861
0.07536180 0.02289062
0.07407572 0.02255276
0.07277485 0.02222519
0.07147398 0.02190807
0.07017310 0.02160153
0.06887223 0.02130566
0.06757136 0.02102052
0.06628528 0.02074611
0.06498440 0.02048244
0.06368353 0.02022944
0.06238266 0.01998701
0.06108179 0.01975502
0.05978092 0.01953327
0.05849483 0.01932152
0.05719396 0.01911949
