# s/c    M_is
-0.02765326 0.05273498
-0.02898739 0.05594942
-0.03032315 0.05847983
-0.03166038 0.06057694
-0.03299939 0.06252445
-0.03433973 0.06425818
-0.03568185 0.06602242
-0.03702529 0.06766725
-0.03837051 0.06927335
-0.03971706 0.07084335
-0.04106524 0.07244867
-0.04241504 0.07401950
-0.04376617 0.07562419
-0.04511893 0.07713101
-0.04647316 0.07835415
-0.04782902 0.07918026
-0.04918636 0.07993534
-0.05054518 0.08055923
-0.05190548 0.08111667
-0.05326740 0.08173164
-0.05463080 0.08228123
-0.05599568 0.08282723
-0.05736204 0.08336968
-0.05872988 0.08390868
-0.06009919 0.08438493
-0.06146998 0.08491757
-0.06284240 0.08538826
-0.06421615 0.08591476
-0.06559138 0.08643809
-0.06696823 0.08701592
-0.06834642 0.08759000
-0.06972608 0.08821722
-0.07110722 0.08884008
-0.07248984 0.08940260
-0.07387393 0.09001738
-0.07525951 0.09062804
-0.07664641 0.09123468
-0.07803480 0.09183737
-0.07942466 0.09238190
-0.08081600 0.09297727
-0.08220867 0.09356890
-0.08360282 0.09415688
-0.08499845 0.09468829
-0.08639541 0.09526946
-0.08779384 0.09579480
-0.08919376 0.09636941
-0.09059500 0.09694067
-0.09199772 0.09745714
-0.09340178 0.09797094
-0.09480731 0.09853308
-0.09621417 0.09904139
-0.09762236 0.09954715
-0.09903203 0.10005040
-0.10044304 0.10060112
-0.10185551 0.10109922
-0.10326932 0.10159492
-0.10468446 0.10208826
-0.10610108 0.10257927
-0.10751888 0.10306798
-0.10893816 0.10355443
-0.11035892 0.10408695
-0.11178086 0.10456876
-0.11320413 0.10504839
-0.11462888 0.10552589
-0.11605496 0.10600128
-0.11748222 0.10647460
-0.11891096 0.10694586
-0.12034104 0.10741509
-0.12177229 0.10788232
-0.12320502 0.10834759
-0.12463893 0.10876466
-0.12607433 0.10922624
-0.12751090 0.10964004
-0.12894881 0.11005231
-0.13038804 0.11050863
-0.13182846 0.11091775
-0.13327021 0.11132540
-0.13471344 0.11177664
-0.13615770 0.11218123
-0.13760344 0.11258441
-0.13905022 0.11298617
-0.14049847 0.11338655
-0.14194791 0.11378555
-0.14339867 0.11418319
-0.14485062 0.11457948
-0.14630375 0.11497444
-0.14775822 0.11536808
-0.14921430 0.11571688
-0.15067039 0.11610806
-0.15212944 0.11649796
-0.15358848 0.11688659
-0.15504900 0.11727396
-0.15651101 0.11766009
-0.15797449 0.11804499
