# s/c    M_is
0.92858516 0.92935637
0.92731385 0.92976620
0.92604254 0.93020319
0.92475646 0.93066735
0.92348515 0.93115330
0.92221385 0.93165114
0.92094254 0.93214809
0.91965645 0.93263155
0.91838515 0.93309666
0.91711384 0.93354254
0.91582775 0.93397063
0.91455645 0.93438508
0.91328514 0.93479171
0.91201384 0.93519693
0.91072775 0.93560799
0.90945644 0.93603371
0.90818514 0.93647871
0.90691383 0.93694503
0.90562774 0.93743272
0.90435644 0.93793954
0.90308513 0.93846225
0.90179905 0.93899688
0.90052774 0.93953847
0.89925643 0.94008241
0.89797035 0.94062334
0.89669904 0.94115323
0.89542774 0.94166537
0.89415643 0.94215329
0.89287034 0.94261195
0.89159904 0.94303976
0.89032773 0.94343708
0.88904164 0.94380822
0.88777034 0.94416199
0.88649903 0.94450946
0.88521294 0.94486112
0.88394164 0.94522415
0.88267033 0.94560519
0.88138424 0.94601182
0.88011294 0.94645022
0.87884163 0.94692437
0.87757033 0.94743493
0.87628424 0.94797860
0.87501293 0.94854794
0.87374163 0.94913186
0.87245554 0.94971638
0.87118424 0.95028459
0.86991293 0.95081918
0.86862684 0.95130638
0.86735554 0.95173970
0.86608423 0.95212059
0.86479814 0.95245875
0.86352684 0.95276753
0.86225553 0.95306250
0.86096944 0.95336058
0.85969814 0.95366964
0.85842683 0.95399305
0.85714075 0.95433199
0.85586944 0.95468417
0.85459813 0.95504522
0.85331205 0.95540907
0.85204074 0.95576664
0.85076944 0.95610439
0.84948335 0.95641502
0.84821204 0.95669956
0.84692595 0.95696565
0.84565465 0.95722291
0.84438334 0.95747690
0.84309725 0.95773093
0.84182595 0.95798554
0.84055464 0.95823905
0.83926856 0.95848940
0.83799725 0.95873419
0.83672594 0.95897100
0.83543986 0.95919738
0.83416855 0.95941124
0.83288246 0.95961135
0.83161116 0.95979717
0.83033985 0.95996921
0.82905376 0.96012897
0.82778246 0.96028067
0.82651115 0.96043322
0.82522507 0.96059818
0.82395376 0.96078337
0.82266767 0.96098762
0.82139637 0.96120304
0.82012506 0.96142028
0.81883897 0.96163216
0.81756767 0.96183409
0.81628158 0.96202127
0.81501027 0.96218726
0.81373897 0.96232630
0.81245288 0.96243510
0.81118157 0.96251386
0.80989549 0.96256607
0.80862418 0.96259490
0.80735288 0.96260473
0.80606679 0.96260228
0.80479548 0.96259577
0.80350939 0.96259568
0.80223809 0.96260809
0.80096678 0.96263496
0.79968070 0.96267643
0.79840939 0.96272941
0.79712330 0.96279004
0.79585200 0.96285222
0.79458069 0.96290799
0.79329460 0.96295183
0.79202330 0.96297982
0.79073721 0.96298949
0.78946590 0.96298036
0.78817982 0.96295291
0.78690851 0.96290882
0.78563720 0.96285029
0.78435112 0.96278110
0.78307981 0.96270776
0.78179372 0.96263992
0.78052242 0.96258869
0.77923633 0.96256189
0.77796502 0.96256276
0.77669372 0.96259147
0.77540763 0.96264576
0.77413633 0.96272190
0.77285024 0.96281455
0.77157893 0.96291568
0.77029284 0.96301352
0.76902154 0.96309791
0.76773545 0.96316573
0.76646414 0.96322035
0.76517806 0.96326785
0.76390675 0.96331320
0.76263545 0.96335941
0.76134936 0.96340831
0.76007805 0.96346112
0.75879196 0.96351843
0.75752066 0.96358050
0.75623457 0.96364786
0.75496327 0.96372097
0.75367718 0.96380054
0.75240587 0.96388807
0.75111978 0.96398519
0.74984848 0.96409429
0.74856239 0.96421811
0.74729108 0.96435866
0.74600500 0.96451600
0.74473369 0.96468792
0.74344760 0.96487019
0.74217630 0.96505673
0.74089021 0.96524259
0.73961890 0.96542315
0.73833282 0.96559382
0.73706151 0.96575051
0.73577542 0.96588912
0.73450412 0.96600614
0.73321803 0.96610250
0.73194672 0.96618672
0.73066064 0.96627477
0.72938933 0.96638521
0.72810324 0.96652887
0.72683194 0.96670667
0.72554585 0.96691251
0.72427454 0.96713799
0.72298845 0.96737813
0.72171715 0.96762840
0.72043106 0.96788407
0.71915976 0.96813711
0.71787367 0.96837290
0.71660236 0.96857339
0.71531627 0.96872241
0.71404497 0.96882343
0.71275888 0.96889587
0.71148758 0.96896138
0.71020149 0.96903760
0.70893018 0.96912973
0.70764409 0.96923987
0.70635801 0.96937085
0.70508670 0.96952769
0.70380061 0.96971603
0.70252931 0.96993952
0.70124322 0.97018816
0.69997191 0.97043578
