# s/c    M_iso_mean    M_iso_std
0.45503866 0.89086414 0.00460515
0.45632474 0.89186743 0.00464243
0.45761083 0.89279834 0.00466826
0.45889692 0.89363411 0.00467550
0.46018301 0.89437514 0.00466702
0.46146910 0.89507374 0.00466108
0.46275519 0.89579211 0.00467249
0.46404127 0.89659600 0.00471096
0.46532736 0.89748480 0.00476929
0.46661345 0.89837125 0.00482326
0.46789954 0.89920651 0.00486354
0.46917084 0.89999745 0.00489514
0.47045693 0.90077977 0.00493253
0.47174302 0.90159165 0.00498580
0.47302911 0.90243485 0.00505009
0.47431520 0.90328744 0.00511664
0.47560128 0.90412316 0.00517613
0.47688737 0.90492118 0.00522366
0.47817346 0.90567672 0.00526043
0.47945955 0.90639963 0.00529114
0.48074564 0.90711047 0.00532242
0.48203172 0.90783275 0.00535978
0.48331781 0.90858713 0.00540742
0.48460390 0.90937409 0.00546456
0.48587521 0.91016691 0.00552237
0.48716129 0.91094168 0.00557439
0.48844738 0.91168709 0.00561836
0.48973347 0.91240264 0.00565519
0.49101956 0.91309633 0.00568878
0.49230565 0.91377731 0.00572276
0.49359173 0.91445444 0.00575936
0.49487782 0.91513510 0.00579959
0.49616391 0.91582529 0.00584434
0.49743522 0.91652708 0.00589296
0.49872130 0.91723824 0.00594420
0.50000739 0.91795276 0.00599611
0.50129348 0.91866108 0.00604580
0.50257957 0.91935323 0.00609133
0.50386566 0.92002146 0.00613088
0.50515174 0.92066047 0.00616351
0.50643783 0.92127257 0.00619113
0.50770914 0.92187075 0.00621815
0.50899523 0.92246669 0.00624809
0.51028131 0.92306499 0.00628183
0.51156740 0.92366016 0.00631671
0.51285349 0.92423696 0.00634745
0.51413958 0.92478384 0.00637157
0.51542567 0.92529593 0.00638875
0.51669697 0.92577437 0.00639987
0.51798306 0.92623150 0.00640933
0.51926915 0.92668840 0.00642383
0.52055524 0.92716874 0.00644823
0.52184132 0.92768495 0.00648344
0.52312741 0.92823676 0.00652756
0.52439872 0.92880139 0.00657267
0.52568480 0.92932987 0.00660585
0.52697089 0.92979067 0.00661755
0.52825698 0.93017792 0.00660813
0.52954307 0.93051016 0.00658859
0.53082916 0.93083835 0.00657397
0.53210046 0.93120338 0.00657495
0.53338655 0.93161864 0.00659165
0.53467264 0.93205995 0.00661253
0.53595873 0.93247844 0.00662450
0.53724481 0.93285348 0.00662182
0.53853090 0.93319348 0.00660751
0.53980221 0.93353152 0.00659541
0.54108830 0.93391348 0.00659888
0.54237438 0.93435454 0.00661817
0.54366047 0.93483569 0.00664489
0.54494656 0.93532602 0.00666942
