# s/c   cf_mean    cf_std
0.60777270 0.09332658 0.04076434
0.60905879 0.09295918 0.04066081
0.61033010 0.09265383 0.04058422
0.61161618 0.09247807 0.04053012
0.61290227 0.09242846 0.04048759
0.61417358 0.09247171 0.04044847
0.61545967 0.09254811 0.04040441
0.61674575 0.09263144 0.04035838
0.61801706 0.09272316 0.04031533
0.61930315 0.09281912 0.04027486
0.62058924 0.09291308 0.04023442
0.62187532 0.09300997 0.04019296
0.62314663 0.09314076 0.04015464
0.62443272 0.09333171 0.04012004
0.62571880 0.09357321 0.04008565
0.62699011 0.09379978 0.04004270
0.62827620 0.09392703 0.03998386
0.62954750 0.09389380 0.03990524
0.63083359 0.09372005 0.03981814
0.63211968 0.09346296 0.03973761
0.63339099 0.09316095 0.03966420
0.63467707 0.09286301 0.03960739
0.63596316 0.09261723 0.03956959
0.63723447 0.09246123 0.03954713
0.63852056 0.09241891 0.03953788
0.63980664 0.09251845 0.03954090
0.64107795 0.09274994 0.03955139
0.64236404 0.09306475 0.03955826
0.64365012 0.09340821 0.03955549
0.64492143 0.09376081 0.03954521
0.64620752 0.09411348 0.03953003
0.64749361 0.09445520 0.03950992
0.64876491 0.09477761 0.03948577
0.65005100 0.09506762 0.03945764
0.65132231 0.09531490 0.03942544
0.65260839 0.09550836 0.03938940
0.65389448 0.09563541 0.03934811
0.65516579 0.09568960 0.03930169
0.65645188 0.09567611 0.03925335
0.65772318 0.09561325 0.03920922
0.65900927 0.09552879 0.03917735
0.66029536 0.09542812 0.03915724
0.66156666 0.09529801 0.03914455
0.66285275 0.09511404 0.03913002
0.66413884 0.09487808 0.03911142
0.66541014 0.09464948 0.03910348
0.66669623 0.09449660 0.03912016
0.66796754 0.09445217 0.03916223
0.66925363 0.09450269 0.03921811
0.67053971 0.09461757 0.03927623
0.67181102 0.09477299 0.03933359
0.67309711 0.09493373 0.03938691
0.67436841 0.09502165 0.03942620
0.67565450 0.09496507 0.03943994
0.67692581 0.09477432 0.03943834
0.67821189 0.09450073 0.03943913
0.67949798 0.09417116 0.03944414
0.68076929 0.09378736 0.03945137
0.68205538 0.09334756 0.03945507
0.68332668 0.09288387 0.03945937
0.68461277 0.09248940 0.03948471
0.68589886 0.09225285 0.03954639
0.68717016 0.09216076 0.03962973
0.68845625 0.09211481 0.03970602
0.68972756 0.09206050 0.03977030
0.69101364 0.09199047 0.03982804
0.69228495 0.09189804 0.03987852
0.69357104 0.09178671 0.03992404
0.69484234 0.09166291 0.03996617
0.69612843 0.09154708 0.04000791
0.69741452 0.09146404 0.04005412
0.69868582 0.09142710 0.04010742
0.69997191 0.09141977 0.04016291
0.70124322 0.09138037 0.04020742
0.70252931 0.09127892 0.04023853
0.70380061 0.09114261 0.04026880
0.70508670 0.09100294 0.04030456
0.70635801 0.09086395 0.04034149
0.70764409 0.09070431 0.04037089
0.70893018 0.09051545 0.04039257
0.71020149 0.09029374 0.04040650
0.71148758 0.09004117 0.04041536
0.71275888 0.08977283 0.04042214
0.71404497 0.08952860 0.04043796
0.71531627 0.08936506 0.04047717
0.71660236 0.08929149 0.04053156
0.71787367 0.08925139 0.04058116
0.71915976 0.08918901 0.04061434
0.72043106 0.08908954 0.04063504
0.72171715 0.08895973 0.04064867
0.72298845 0.08881307 0.04066061
0.72427454 0.08866838 0.04067538
0.72554585 0.08853073 0.04069410
0.72683194 0.08838107 0.04071023
0.72810324 0.08818803 0.04071394
0.72938933 0.08793652 0.04070142
0.73066064 0.08765642 0.04068267
0.73194672 0.08739199 0.04066978
0.73321803 0.08717097 0.04066656
0.73450412 0.08699935 0.04066991
0.73577542 0.08685896 0.04067099
0.73706151 0.08673062 0.04066487
0.73833282 0.08660498 0.04065084
0.73961890 0.08647804 0.04062963
0.74089021 0.08634555 0.04060156
0.74217630 0.08620414 0.04056704
0.74344760 0.08605036 0.04052627
0.74473369 0.08588251 0.04047985
0.74600500 0.08570617 0.04043002
0.74729108 0.08553299 0.04038017
0.74856239 0.08537734 0.04033351
0.74984848 0.08524953 0.04029126
0.75111978 0.08515351 0.04025279
0.75240587 0.08508872 0.04021681
0.75367718 0.08505217 0.04018200
0.75496327 0.08503983 0.04014729
0.75623457 0.08504820 0.04011208
0.75752066 0.08507372 0.04007591
0.75879196 0.08511358 0.04003853
0.76007805 0.08516561 0.03999977
0.76134936 0.08522985 0.03995989
0.76263545 0.08530794 0.03991933
0.76390675 0.08540419 0.03987881
0.76517806 0.08552519 0.03983948
0.76646414 0.08568041 0.03980309
0.76773545 0.08587926 0.03977212
0.76902154 0.08612017 0.03974649
0.77029284 0.08638202 0.03972112
0.77157893 0.08662757 0.03968838
0.77285024 0.08683568 0.03964758
0.77413633 0.08699903 0.03960181
0.77540763 0.08711620 0.03955312
0.77669372 0.08718956 0.03950400
0.77796502 0.08721826 0.03945432
0.77923633 0.08721031 0.03940638
0.78052242 0.08717981 0.03936296
0.78179372 0.08714422 0.03932699
0.78307981 0.08711714 0.03929940
0.78435112 0.08711429 0.03928129
0.78563720 0.08713985 0.03927133
0.78690851 0.08718519 0.03926392
0.78817982 0.08724598 0.03925708
0.78946590 0.08731943 0.03924965
0.79073721 0.08740408 0.03924078
0.79202330 0.08749750 0.03922978
0.79329460 0.08759509 0.03921589
0.79458069 0.08769014 0.03919820
0.79585200 0.08777282 0.03917584
0.79712330 0.08783623 0.03914993
0.79840939 0.08787706 0.03912226
0.79968070 0.08789201 0.03909399
0.80096678 0.08787952 0.03906504
0.80223809 0.08784464 0.03903681
0.80350939 0.08780146 0.03901084
0.80479548 0.08777672 0.03899398
0.80606679 0.08778852 0.03898712
0.80735288 0.08783761 0.03898815
